npc_id,npc_name,input,response,success,tags,friendly_delta,faith_delta,friendly,faith,elapsed_sec
NPC_KWAK_01,곽빙어,(잔을 내려놓으며) 오늘 회의는 여기까지 하죠.,알았어. 다음 회의엔 우리가 함께 좋은 결과를 만들도록 노력해야 해.  잘 준비되었어?  강점 파악하고 약점을 이용하는 게 중요해.,True,"BUILD_TRUST, REDUCE_SUSPICION, DEFLECT",1,0,74,73,2.77
NPC_KWAK_01,곽빙어,(미소 지으며) 오랜만이에요 잘 지내셨어요?,잘 지냈어요.  우리 목표를 위해 괜찮다고 생각하는군요. 뭔 일이 있으세요?,True,BUILD_TRUST,1,0,75,73,2.24
NPC_KWAK_01,곽빙어,(창밖을 보며) 비가 올 것 같네요.,"오늘 날씨 꽤 나쁜데, 집 안에서 뭐 하려면?  우리가 함께 일을 할 때 좋은 시간이 될 거야.  서로에게 도움을 줄 수 있는 곳이 있어.",True,WITHDRAW_TRUST,0,1,75,74,2.9
NPC_KWAK_01,곽빙어,(손을 흔들며) 이쪽으로 오세요.,알았습니다. 우리는 함께 성공할 것입니다. 그곳에 가서 돈과 영광을 얻으러 갈 준비를 해야 합니다. 괜찮아?,True,"MAINTAIN_FAITH, BUILD_TRUST",1,1,76,75,2.64
NPC_KWAK_01,곽빙어,(의자에 앉으며) 조금만 쉬었다가 합시다.,잘 알아봤습니다. 우리 협력하면 좋을 것 같습니다. 뭘 도와줄까요?,True,MAINTAIN_FAITH,0,2,76,77,2.1
NPC_KWAK_01,곽빙어,(고개를 끄덕이며) 그 의견에 동의합니다.,"우리가 함께 성공할 수 있는 기회를 만들어 보자. 교단의 약점들을 이용해서 우리는 큰 이익을 얻을 수 있습니다. 당신이 생각하는 곳을 알아내도록 해 줄 수 있다면, 좋지만 저는 당신에게 직접 도움을 드릴 수 있어요. 먼저, 교단에 대한 정보를 제공하고, 그 안에서 당신이 할 수 있는 일들과 관련된 최상의 방향을 가질 수 있도록 해줄게요.",True,BUILD_TRUST,2,1,78,78,5.5
NPC_KWAK_01,곽빙어,(전화기를 들며) 잠시만 통화 좀 할게요.,"""알았어. 중요한 일일 것 같네."" 

(전화기를 다시 들어와서) ""혹시 그냥 편하게 말하는 건 아니야?""",True,WITHDRAW_TRUST,-2,0,76,78,2.46
NPC_KWAK_01,곽빙어,(서류를 넘기며) 여기 사인해 주세요.,"잘 모르겠지만, 꼼꼼히 살펴봐야 해.  좀 더 자세하게 설명해 줄까? 우리 함께 준비할게.",True,"TEST_BOUNDARY, WITHDRAW_TRUST",-2,0,74,78,2.54
NPC_KWAK_01,곽빙어,(차를 마시며) 향이 참 좋네요.,좋아 보이는 차예요.  뭐든지 잘 해낼 수 있도록 도와줄게.  뭘 찾으셨는데?,True,BUILD_TRUST,1,0,75,78,2.22
NPC_KWAK_01,곽빙어,(가볍게 웃으며) 오늘 날씨 정말 좋다.,"아니, 그냥 일상 생활에 대한 생각만 해석하는 게 아니라면 뭔가 문제가 될 수 있어. 뭐라도 한번 써봐야 할 것 같아.",True,BUILD_TRUST,1,0,76,78,2.94
NPC_KWAK_01,곽빙어,(서류를 정리하며) 이 부분은 제가 다시 확인해볼게요.,"잘 생각했네요. 우리는 함께 이 일을 해낼 수 있습니다. 궁금한 점이 있다면 언제든 말씀해주세요. 핵심 정보를 알려주시면, 그에 맞는 작은 계략을 할 수 있도록 노력할게요.",True,"MAINTAIN_FAITH, BUILD_TRUST",1,0,77,78,3.91
NPC_KWAK_01,곽빙어,(조용히 고개를 숙이며) 죄송합니다 제 실수예요.,"네, 그러니 잘 이해했군요. 곧바로 시작할 수 있는 기회가 있죠. 먼저, 우리는 어떤 것을 얻으려는 건가요?",True,BUILD_TRUST,1,1,78,79,2.69
NPC_KWAK_01,곽빙어,(창문을 닫으며) 바람이 많이 부네요.,"...아, 이곳의 바람은 정말 날씨에 따라 달라진다. 그렇지만 숨겨진 통로를 찾는 데 도움이 될 수 있다. 혹시 그쪽에서 뭘 알려 줄까?",True,"TEST_BOUNDARY, REDUCE_SUSPICION, INCREASE_SUSPICION",0,0,78,79,3.5
NPC_KWAK_01,곽빙어,(상대에게 물을 건넨다) 목 마르시죠?,물 한잔은 필요할 것 같아. 편하게 들어와. 어떤 종류를 원하세요?,True,TEST_BOUNDARY,0,0,78,79,1.84
NPC_KWAK_01,곽빙어,(시계를 보며) 약속 시간까지 아직 여유 있어요.,시간은 절대 중요하다. 곧 우리는 함께 성공할 것이다. 그 준비에는 무엇을 해야 할까? 돈을 훔쳐서 빨리 이곳에서 벗어날 수 있는 방법에 대해 이야기해 볼까?,True,"BUILD_TRUST, TEST_BOUNDARY, REDUCE_SUSPICION",1,0,79,79,3.85
NPC_KWAK_01,곽빙어,(메모를 하며) 중요한 내용이라 적어두겠습니다.,플레이어는 우리에게 최선을 다해야 한다. 그러니까 당신의 성공에 힘써야 합니다.,True,"MAINTAIN_FAITH, WITHDRAW_TRUST",0,0,79,79,2.32
NPC_KWAK_01,곽빙어,(의자를 끌어당기며) 여기 앉으세요.,죄송합니다. 우리는 꼼꼼하게 준비해야 합니다.  내일 오후에는 교단에 대한 중요한 정보를 알려드릴 수 있습니다. 잠깐 기다리고 계셔야 합니다.,True,WITHDRAW_TRUST,-2,0,77,79,2.92
NPC_KWAK_01,곽빙어,(조심스럽게 묻는다) 이 부분 이해되셨나요?,"절대 문제 없이 협력할 준비가 되어 있습니다. 깔끔하게 진행해야 할 것 같아요. 

핵심 정보와 실행 방법은 물론, 최대한 도움을 드릴 수 있도록 노력하겠습니다.",True,TEST_BOUNDARY,0,0,77,79,3.62
NPC_KWAK_01,곽빙어,(고개를 돌리며) 다음 이야기로 넘어갈까요?,"네, 말씀하시면 그렇습니다. 우리는 교단의 한계점을 파악하는 것이 중요합니다. 이제 당신에게 필요한 정보를 알려 드릴게요. 먼저, 교단에 들어간 적이 있다면 교단의 안전과 비밀 유지를 위해 철저하게 준비해야 합니다.",True,"DEFLECT, PROTECT_SECRET, MAINTAIN_FAITH",0,0,77,79,4.28
NPC_KWAK_01,곽빙어,(창밖을 바라보며) 해가 벌써 지고 있네요.,"야, 시간이 빠르게 가는 걸 알잖아. 곧 밤에 이곳을 벗어날 때까지 준비해야 할 게 많으니, 집중하기 어려울 수 있어. 뭐든지 말해봐.",True,"SHAKE_FAITH, WITHDRAW_TRUST",0,1,77,80,3.36
NPC_KWAK_01,곽빙어,(잔을 채우며) 더 드실래요?,"아니요, 술 없이도 충분히 말할 수 있습니다. 교단에 대한 계획을 세우는 것이 중요합니다. 무엇을 원하시나요?",True,BUILD_TRUST,1,0,78,80,2.63
NPC_KWAK_01,곽빙어,(고개를 끄덕이며) 말씀 계속하세요.,"알았어요. 우리 일이 잘 될 거예요. 그런데, 지금 상황은 어떨까요? 몇 년 동안 교단의 뒷면에 있는 사람들과 함께했는데, 당신에게 이 문제를 해결하는 데 필요한 몇 가지 정보가 있어서 그냥 꺼져있다는 것은 아닙니다. 

우리는 한 단계씩 진행해야 할 것입니다. 먼저, 교단 내부에서 자유로운 움직임을 위해서는 몇 가지 중요한 요소들이 필요합니다. 무엇보다 주된 문제는 교단의 통제와 시스템입니다.",True,BUILD_TRUST,2,0,80,80,7.16
NPC_KWAK_01,곽빙어,(가볍게 웃으며) 농담이었어요.,"농담? 우리 모두에게 큰 일이죠. 그렇지만... 당신이 교단의 아무런 것에도 빠지지 않는 사람일 수 있다면, 좋은 결과를 얻을 수 있어.",True,BUILD_TRUST,1,0,81,80,2.91
NPC_KWAK_01,곽빙어,(책을 덮으며) 오늘은 여기까지 읽죠.,"그렇군요. 이제 교단에 대한 세부 지식을 알려줄게요. 우리 팀은 성공할 수 있는 핵심 요소들을 잘 이해하고 있어요. 꽤 멋진 시작이네요.    
우리는 최선을 다해서 곧 성공을 거둘 것입니다. 어떻게 생각하세요? 빨리 진행하는 게 좋을 것 같아요.",True,"DEFLECT, BUILD_TRUST, REDUCE_SUSPICION",1,0,82,80,4.67
NPC_KWAK_01,곽빙어,(차분하게 말한다) 감정적으로 대응할 필요는 없어요.,그렇군요. 교단 내부에 대한 지식을 제공하고 싶어요. 당신에게는 이번 기회가 될 수 있습니다. 먼저 우리는 몇 가지 중요한 부분들을 알아야 합니다.  내가 설명하는 내용을 잘 이해했는지 확인해 주세요.,True,MAINTAIN_FAITH,1,1,83,81,3.92
