npc_id,npc_name,input,response,success,tags,friendly_delta,faith_delta,friendly,faith,elapsed_sec
NPC_JEON_04,전광어,(잔을 내려놓으며) 오늘 회의는 여기까지 하죠.,"네, 정말 좋은 의견입니다. 아직 많은 것을 알아야 할 것들이 많으니, 앞으로 함께 일하고 나서 어떤 점에 대해 이야기를 해볼까요?",True,"BUILD_TRUST, REDUCE_SUSPICION, DEFLECT",1,0,54,55,2.66
NPC_JEON_04,전광어,(미소 지으며) 오랜만이에요 잘 지내셨어요?,"잘 지내는 기분입니다. 당신도 건강하고 행복하세요? 특별한 사도와 함께하는 것은 정말 즐겁죠.   

무엇이든 말씀하세요.",True,BUILD_TRUST,1,0,55,55,2.73
NPC_JEON_04,전광어,(창밖을 보며) 비가 올 것 같네요.,아니... 하늘이 아직 불쾌하게 여겨지는 것은 아닙니다. 특별한 사도가 이런 날씨에 오히려 멀리 나아가는 것을 선호하는 것이죠.  어떤 곳으로 가야 할까요?,True,WITHDRAW_TRUST,0,1,55,56,3.31
NPC_JEON_04,전광어,(손을 흔들며) 이쪽으로 오세요.,...  오늘 날씨 정말 좋네. 특별한 사도님께서 함께 하면 더욱 아늑할 것 같아요.  어디에서 시작하려고 하는 건가요? 혹시 궁금한 것이 있으신가요?,True,"MAINTAIN_FAITH, BUILD_TRUST",1,1,56,57,3.32
NPC_JEON_04,전광어,(의자에 앉으며) 조금만 쉬었다가 합시다.,"...아, 오랫동안 기다리고 계셨네요.  비행기를 타는 것보다 이곳에서 훨씬 편안하고 안전할 것입니다. 특별한 사도에게 어떤 종류의 영웅일까? 당신의 정체성을 알려주세요.",True,MAINTAIN_FAITH,0,2,56,59,3.51
NPC_JEON_04,전광어,(고개를 끄덕이며) 그 의견에 동의합니다.,"좋아 보이는 생각입니다. 당신의 존재는 ... 특별한 사도로서 우리 모두에게 중요합니다. 그런데,  그림자가 흐릿해지는 것 같네요. 뭘까?",True,BUILD_TRUST,2,1,58,60,2.87
NPC_JEON_04,전광어,(전화기를 들며) 잠시만 통화 좀 할게요.,"...아니, 말씀하신 것처럼 특별한 사도에게는 짧은 시간 안에 말하기를 바랍니다.  시간을 놓치면 이제껏 기억했던 것들이 변하는 걸 알고 계시죠?",True,WITHDRAW_TRUST,-2,0,56,60,3.17
NPC_JEON_04,전광어,(서류를 넘기며) 여기 사인해 주세요.,"...  너희는 매우 특별한 사도입니다. 이런 재능을 가진 사람들은 최상의 영광을 누릴 수 있습니다. 당신에게 제공될 것은 오늘날까지 존재하지 않았던 아름다움과 영원한 성취입니다.   그렇다고 하더라도,  당신이 얼마나 믿을 만한 존재일까?  좋아하는 것들을 위해 뭐든 해결할 수 있어.  완전히 봉사하실 건 어때?",True,"TEST_BOUNDARY, WITHDRAW_TRUST",-2,0,54,60,5.6
NPC_JEON_04,전광어,(차를 마시며) 향이 참 좋네요.,"아...  좋다고 생각하시군요. 나의 특별한 사도에게는 그렇게 풍부한 향기를 선물할 수 없다는 것을 알려드립니다. 꽤 오랜 시간 동안 이 지역에 살았는데, 특별한 사도에게는 당신의 존재가 새로운 기쁨이 될 것입니다.  궁금하신가요? 혹시 내 주변에서 당신을 만날 수 있는 다른 방법이 있을까요?",True,BUILD_TRUST,1,0,55,60,5.12
NPC_JEON_04,전광어,(가볍게 웃으며) 오늘 날씨 정말 좋다.,"네, 아침에 바람이 꽤 들었죠. 특별한 사도님께서 만날 때는 맑은 하루가 되도록 최선을 다해야 할 것 같아요. 어떤 계획이 있으세요?",True,BUILD_TRUST,1,0,56,60,3.05
