npc_id,npc_name,input,response,success,tags,friendly_delta,faith_delta,friendly,faith,elapsed_sec
NPC_PARK_03,박복어,(잔을 내려놓으며) 오늘 회의는 여기까지 하죠.,"응...  아니, 지금 이곳에 있는 게 뭔가 안전하지 않아 보여서 좀 다른 곳에서 얘기 해볼까? 괜찮다고 생각하는 거야. 그렇게 한다면, 너무 아파서 정말 혼란스럽다는 걸 알지만, 넌 나에게 가까워지는 것 같아.",True,"BUILD_TRUST, REDUCE_SUSPICION, DEFLECT",1,0,54,55,4.28
NPC_PARK_03,박복어,(미소 지으며) 오랜만이에요 잘 지내셨어요?,잘 지냈어. 뭐 하고 계신 걸까?   뭘 궁금하세요?,True,BUILD_TRUST,1,0,55,55,1.8
NPC_PARK_03,박복어,(창밖을 보며) 비가 올 것 같네요.,"아니, 네 눈빛에 그런 느낌은 아니잖아? 지금 바로 뒤에서 뭔가 잘못되었다는 걸 알고 있어. ...  내 생각을 똑같이 해봐야 할까 몰라. 

(눈빛을 돌리고 말하며)  그럼, 내게 미래를 상상하는 것은 좀 불편할까 봐. 뭐든지 나와서 말해.",True,WITHDRAW_TRUST,0,1,55,56,4.84
NPC_PARK_03,박복어,(손을 흔들며) 이쪽으로 오세요.,"아, 잘 보여주네...  이렇게 하면 우리 사이에  깊이 있는 연결이 될까?    숨겨진 길을 찾는 건가?  내가 알려줄게. 뭘 원하는지 생각해봐.",True,"MAINTAIN_FAITH, BUILD_TRUST",1,1,56,57,3.17
NPC_PARK_03,박복어,(의자에 앉으며) 조금만 쉬었다가 합시다.,"아니야, 그냥 딱히 편하게 안전하면서 말하는 게 좋을 것 같아.  무슨 일인지 자세히 설명해줘. 뭐라고 생각하지?",True,MAINTAIN_FAITH,0,2,56,59,2.61
NPC_PARK_03,박복어,(고개를 끄덕이며) 그 의견에 동의합니다.,"알았네. 네 손님, 이 일이 너무 작게 생각하는 게 아니라고 얘길 들어주는 걸까?  내일이야, 저녁에는 다시 모여서 이야기 해볼까? 뭘 하려면 정말 필요한 정보가 있어요. 딱 맞는 사람을 알고 있다면, 좋은 소식일 것 같아.",True,BUILD_TRUST,2,1,58,60,4.28
NPC_PARK_03,박복어,(전화기를 들며) 잠시만 통화 좀 할게요.,"""뭐야? ..그래... 알았어. 곧 돌아오겠다고 해."" 

*후회하는 표정을 짓는다*  

**(무언가가 뒤늦게 나타날 것 같아서 뒷받침을 하는 것을 주저하지 않는 모습)** ""괜찮아. ...뭐든지 말해줘.""",True,WITHDRAW_TRUST,-2,0,56,60,4.19
NPC_PARK_03,박복어,(서류를 넘기며) 여기 사인해 주세요.,"네,  **... 넌 그냥 기분 나쁜 것 같아.** 뭐야? 뭘 알려줄 건데 왜 이런 거 쓰는 걸까?",True,"TEST_BOUNDARY, WITHDRAW_TRUST",-2,0,54,60,2.4
NPC_PARK_03,박복어,(차를 마시며) 향이 참 좋네요.,"... 이 도시에서 그런 향이 느껴지는 곳이 있다면, 정말 안타깝군요.  내일 같이 뭐 먹을까 생각해 보세요.",True,BUILD_TRUST,1,0,55,60,2.43
NPC_PARK_03,박복어,(가볍게 웃으며) 오늘 날씨 정말 좋다.,"맞아, 이런 햇살 아침에 뭐 해야 할까?  근데 좀 고민되네. 몇 시간 동안 길을 잘 알고 있는 사람들이 있어서 지금 당장 뭘 하든 편하게 해줄 것 같지만... 다른 곳에서 일해야 하는 게 아니냐.  넌 그렇다고 생각하니?",True,BUILD_TRUST,1,0,56,60,4.1
NPC_PARK_03,박복어,(서류를 정리하며) 이 부분은 제가 다시 확인해볼게요.,"그러니...  아직 뭔데 없는 게 있을까? 뭐 쓸모없는 일 없다고 생각하지 않으실까?  딱 알려줄 만한 곳이 있다면, 언제든 해봐.",True,"MAINTAIN_FAITH, BUILD_TRUST",1,0,57,60,3.04
NPC_PARK_03,박복어,(조용히 고개를 숙이며) 죄송합니다 제 실수예요.,"괜찮아, 내부적으로  재판이 필요할 때는 일단 잠시 서서히 뺌을 거야. 이게 정말 중요하지?   

--- 
**(반문)**",True,BUILD_TRUST,1,1,58,61,2.88
NPC_PARK_03,박복어,(창문을 닫으며) 바람이 많이 부네요.,괜찮아. ... 그런데 이곳에 왜 여전히 불쾌한 느낌이 들까? 뭐라고 생각하는 건가?,True,"TEST_BOUNDARY, REDUCE_SUSPICION, INCREASE_SUSPICION",0,0,58,61,2.28
NPC_PARK_03,박복어,(상대에게 물을 건넨다) 목 마르시죠?,"네, 다행히 괜찮아.  오늘 날씨 정말 좋구나. 딱 필요한 것 같아.  그럼, 그곳에 가는 길 보면서 이야기를 나누면 돼. 뭘 좋아하는 걸까?",True,TEST_BOUNDARY,0,0,58,61,3.23
NPC_PARK_03,박복어,(시계를 보며) 약속 시간까지 아직 여유 있어요.,"아니야, 그냥 잠깐만 좀 이야기 해볼까? 뭘 하든 편하게.  (웃으며) 얘기를 잘 듣는 사람은 딱 좋은 친구죠.  뭐가 궁금할까?",True,"BUILD_TRUST, TEST_BOUNDARY, REDUCE_SUSPICION",1,0,59,61,3.16
NPC_PARK_03,박복어,(메모를 하며) 중요한 내용이라 적어두겠습니다.,알았어.  뭐야? 뭘 알고 있어?  얘기를 자세히 털어놓는 건 어때? 솔직하게 이야기하면 우리 사이에 좀 더 돈독한 거리를 만들 수 있잖아. 뭐든 편하게 말해줘.,True,"MAINTAIN_FAITH, WITHDRAW_TRUST",0,0,59,61,3.57
NPC_PARK_03,박복어,(의자를 끌어당기며) 여기 앉으세요.,"...  **""괜찮아. 지금 이곳에 있는 사람들 사이에서 잘못된 일은 없다고 생각해.""**    **(그것들은 누군가에게 알려주는 것 같네.)**",True,WITHDRAW_TRUST,-2,0,57,61,2.86
NPC_PARK_03,박복어,(조심스럽게 묻는다) 이 부분 이해되셨나요?,"맞아,  잘 알았는데... 그냥 좀 주변에 있는 사람들을 엿볼까봐 걱정하는 것 같네.  괜찮을 거야. 지금은 여기서만 일하는 게 좋겠다는 생각이 들었는데, 뭐 할까 고민이 많아.",True,TEST_BOUNDARY,0,0,57,61,3.77
NPC_PARK_03,박복어,(고개를 돌리며) 다음 이야기로 넘어갈까요?,"...  네, 그렇게 생각하는군요. 우리는 이제 앞으로 어디로 가야 할지는 결정해야죠. 넌 내가 뭘 말하려고 하는지 잘 알고 있잖아.    *그림자 속에서 박복어는 웃으며 뒷골목을 향해 걷는 모습을 보여주고 말합니다.* 
 
 **""뭐든 상황에 따라 다양하게 해결할 수 있다. 어떤 선택을 하실 건가?""**",True,"DEFLECT, PROTECT_SECRET, MAINTAIN_FAITH",0,0,57,61,5.86
NPC_PARK_03,박복어,(창밖을 바라보며) 해가 벌써 지고 있네요.,"그래... 오늘 하루는 얼마나 많이 걸었던 건데?    뭐, 너무 걱정하지 마.  일단 편하게 휴식을 취해야겠어.",True,"SHAKE_FAITH, WITHDRAW_TRUST",0,1,57,62,2.87
NPC_PARK_03,박복어,(잔을 채우며) 더 드실래요?,"아, 그냥...  *잠시 고개 돌렸지만 다시 머리를 흔들었다.* 네, 차가워 보니 좋네.  그럼 이제 내가 알려줄게. 좀 이상한 일이 있었는데, 그곳에 가서 뭘 해야 할까.  *오랫동안 침묵을 유지하다 웃으며* 지금 당장은 안전하지 않아.   내가 얘기할 때는 믿을 수 있는 사람일 필요 있어.",True,BUILD_TRUST,1,0,58,62,5.63
NPC_PARK_03,박복어,(고개를 끄덕이며) 말씀 계속하세요.,"""오늘 날씨 좋네.  내일 아침에 뭘 먹을까?""  뭔가 궁금해 보이는 것 같아... 괜찮으세요?",True,BUILD_TRUST,2,0,60,62,2.66
